date,averagePELYR,averagePETTM,middlePELYR,middlePETTM,close
2018-10-11,44.11,39.91,30.13,27.72,3720.17
2018-10-12,41.53,37.58,27.99,25.58,3737.0
2018-10-15,41.23,37.37,27.77,25.38,3683.36
2018-10-16,40.94,36.96,27.41,25.2,3629.21
2018-10-17,40.3,36.3,26.8,24.79,3653.01
2018-10-18,40.37,36.62,27.0,24.94,3554.44
2018-10-19,39.86,35.57,26.35,24.29,3647.99
2018-10-22,40.49,36.19,26.99,24.77,3815.14
2018-10-23,41.75,37.64,28.24,26.15,3734.01
2018-10-24,41.36,37.37,27.72,25.47,3736.91
2018-10-25,41.37,37.19,27.77,25.33,3731.43
2018-10-26,41.03,36.68,27.51,24.98,3722.78
2018-10-29,41.11,36.77,27.66,24.96,3636.84
2018-10-30,40.86,36.05,27.43,24.7,3675.2
2018-10-31,41.11,36.41,27.75,25.14,3729.11
2018-11-01,41.39,36.26,28.17,25.52,3752.92
2018-11-02,41.57,36.42,28.31,25.6,3875.31
2018-11-05,42.59,37.32,29.13,26.33,3868.97
2018-11-06,42.99,37.59,29.31,26.48,3856.03
2018-11-07,42.82,37.48,28.95,26.38,3836.75
2018-11-08,42.76,37.42,28.9,26.33,3824.05
2018-11-09,42.71,37.38,28.76,26.21,3790.57
2018-11-12,42.74,37.31,28.75,26.12,3864.94
2018-11-14,44.28,38.85,30.12,27.32,3898.26
2018-11-15,44.23,38.9,30.02,27.29,3952.68
2018-11-16,45.05,39.55,30.72,27.89,3980.06
2018-11-19,45.12,39.89,31.11,28.09,4008.98
2018-11-20,45.26,40.02,31.3,28.24,3908.86
2018-11-21,44.58,39.24,30.43,27.5,3926.66
2018-11-22,44.87,39.41,30.66,27.65,3919.64
2018-11-23,44.77,39.54,30.7,27.77,3796.35
2018-11-26,43.29,38.0,29.17,26.5,3790.47
2018-11-27,43.34,37.91,29.17,26.41,3799.96
2018-11-28,43.74,38.17,29.34,26.72,3847.38
2018-11-29,44.11,38.68,29.68,26.99,3778.59
2018-11-30,43.02,37.74,28.96,26.29,3811.99
2018-12-03,43.21,37.98,29.24,26.51,3925.33
2018-12-04,44.04,39.12,30.19,27.49,3944.0
2018-12-05,44.5,39.28,30.44,27.6,3921.58
2018-12-06,44.1,39.12,30.21,27.33,3843.31
2018-12-07,43.59,38.53,29.83,26.92,3843.06
2018-12-10,43.78,38.5,29.79,26.94,3798.99
2018-12-11,43.05,38.09,29.42,26.64,3823.71
2018-12-12,43.44,38.51,29.71,26.84,3830.39
2018-12-13,43.47,38.44,29.57,26.84,3878.27
2018-12-14,43.84,38.84,29.81,27.13,3798.15
2018-12-17,42.89,38.06,29.09,26.35,3792.91
2018-12-18,42.87,38.04,29.14,26.44,3762.2
2018-12-19,42.62,37.81,28.91,26.25,3715.53
2018-12-20,42.11,37.26,28.52,25.86,3708.83
2018-12-21,42.27,37.47,28.64,26.03,3672.64
2018-12-24,42.1,37.32,28.44,25.88,3694.41
2018-12-25,42.52,37.73,28.78,26.23,3662.08
2018-12-26,42.31,37.45,28.67,25.93,3647.68
2018-12-27,42.18,37.21,28.63,25.82,3614.25
