,symbol,name
485,sh600602,云赛智联
486,sh600603,广汇物流
487,sh600604,市北高新
488,sh600605,汇通能源
489,sh600606,绿地控股
490,sh600608,ST沪科
491,sh600609,金杯汽车
492,sh600610,ST毅达
493,sh600611,大众交通
494,sh600612,老凤祥
495,sh600613,神奇制药
496,sh600614,*ST鹏起
497,sh600615,丰华股份
498,sh600616,金枫酒业
499,sh600617,国新能源
500,sh600618,氯碱化工
501,sh600619,海立股份
502,sh600620,天宸股份
503,sh600621,华鑫股份
504,sh600622,光大嘉宝
505,sh600623,华谊集团
506,sh600624,复旦复华
507,sh600626,申达股份
508,sh600628,新世界
509,sh600629,华建集团
510,sh600630,龙头股份
511,sh600633,浙数文化
512,sh600634,*ST富控
513,sh600635,大众公用
514,sh600636,国新文化
515,sh600637,东方明珠
516,sh600638,新黄浦
517,sh600639,浦东金桥
518,sh600640,号百控股
519,sh600641,万业企业
520,sh600642,申能股份
521,sh600643,爱建集团
522,sh600644,乐山电力
523,sh600645,中源协和
524,sh600647,同达创业
525,sh600648,外高桥
526,sh600649,城投控股
527,sh600650,锦江在线
528,sh600651,飞乐音响
529,sh600652,ST游久
530,sh600653,申华控股
531,sh600654,ST中安
532,sh600655,豫园股份
533,sh600657,信达地产
534,sh600658,电子城
535,sh600660,福耀玻璃
536,sh600661,昂立教育
537,sh600662,强生控股
538,sh600663,陆家嘴
539,sh600664,哈药股份
540,sh600665,天地源
541,sh600666,ST瑞德
542,sh600667,太极实业
543,sh600668,尖峰集团
544,sh600671,*ST目药
545,sh600673,东阳光
546,sh600674,川投能源
547,sh600675,中华企业
548,sh600676,交运股份
549,sh600678,四川金顶
550,sh600679,上海凤凰
551,sh600681,百川能源
552,sh600682,南京新百
553,sh600683,京投发展
554,sh600684,珠江股份
555,sh600685,中船防务
556,sh600686,金龙汽车
557,sh600688,上海石化
558,sh600689,上海三毛
559,sh600690,海尔智家
560,sh600691,阳煤化工
561,sh600692,亚通股份
562,sh600693,东百集团
563,sh600694,大商股份
564,sh600695,*ST绿庭
565,sh600696,ST岩石
566,sh600697,欧亚集团
567,sh600698,ST天雁
568,sh600699,均胜电子
569,sh600701,退市工新
570,sh600702,ST舍得
571,sh600703,三安光电
572,sh600704,物产中大
573,sh600705,中航资本
574,sh600706,曲江文旅
575,sh600707,彩虹股份
576,sh600708,光明地产
577,sh600710,苏美达
578,sh600711,盛屯矿业
579,sh600712,南宁百货
580,sh600713,南京医药
581,sh600714,金瑞矿业
582,sh600715,文投控股
583,sh600716,凤凰股份
584,sh600717,天津港
585,sh600718,东软集团
586,sh600719,大连热电
587,sh600720,祁连山
588,sh600721,*ST百花
589,sh600722,金牛化工
590,sh600723,首商股份
591,sh600724,宁波富达
592,sh600725,ST云维
593,sh600726,华电能源
594,sh600727,鲁北化工
595,sh600728,佳都科技
596,sh600729,重庆百货
597,sh600730,中国高科
598,sh600731,湖南海利
599,sh600732,爱旭股份
600,sh600733,北汽蓝谷
601,sh600734,*ST实达
602,sh600735,新华锦
603,sh600736,苏州高新
604,sh600737,中粮糖业
605,sh600738,丽尚国潮
606,sh600739,辽宁成大
607,sh600740,山西焦化
608,sh600741,华域汽车
609,sh600742,一汽富维
610,sh600743,华远地产
611,sh600744,华银电力
612,sh600745,闻泰科技
613,sh600746,江苏索普
614,sh600748,上实发展
615,sh600749,西藏旅游
616,sh600750,江中药业
617,sh600751,海航科技
618,sh600753,东方银星
619,sh600754,锦江酒店
620,sh600755,厦门国贸
621,sh600756,浪潮软件
622,sh600757,长江传媒
623,sh600758,辽宁能源
624,sh600759,洲际油气
625,sh600760,中航沈飞
626,sh600761,安徽合力
627,sh600763,通策医疗
628,sh600764,中国海防
629,sh600765,中航重机
630,sh600766,园城黄金
631,sh600767,ST运盛
632,sh600768,宁波富邦
633,sh600769,祥龙电业
634,sh600770,综艺股份
635,sh600771,广誉远
636,sh600773,西藏城投
637,sh600774,汉商集团
638,sh600775,南京熊猫
639,sh600776,东方通信
640,sh600777,新潮能源
641,sh600778,友好集团
642,sh600779,水井坊
643,sh600780,通宝能源
644,sh600781,*ST辅仁
645,sh600782,新钢股份
646,sh600783,鲁信创投
647,sh600784,鲁银投资
648,sh600785,新华百货
649,sh600787,中储股份
650,sh600789,鲁抗医药
651,sh600790,轻纺城
652,sh600791,京能置业
653,sh600792,云煤能源
654,sh600793,宜宾纸业
655,sh600794,保税科技
656,sh600795,国电电力
657,sh600796,钱江生化
658,sh600797,浙大网新
659,sh600798,宁波海运
660,sh600800,渤海化学
661,sh600801,华新水泥
662,sh600802,福建水泥
663,sh600803,新奥股份
664,sh600804,鹏博士
665,sh600805,悦达投资
666,sh600807,济南高新
667,sh600808,马钢股份
668,sh600809,山西汾酒
669,sh600810,神马股份
670,sh600811,东方集团
671,sh600812,华北制药
672,sh600814,杭州解百
673,sh600815,厦工股份
674,sh600816,*ST安信
675,sh600817,宏盛科技
676,sh600818,中路股份
